                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7a3616aa1010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:11:49 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:13:15	 3115	 639	1292	-128	 83.32	 -1	5 	0
2026-05-20 15:13:16	 3150	 661	1391	-128	 56.95	 0	0 	0
2026-05-20 15:13:17	 3185	 736	1436	-128	 34.10	 5	4 	0
2026-05-20 15:13:18	 3220	 833	1444	-128	 53.44	 -4	-4 	0
2026-05-20 15:13:19	 3255	 785	1383	-128	 74.53	 1	5 	0
2026-05-20 15:13:20	 3290	 819	1463	-128	 74.53	 0	0 	0
2026-05-20 15:13:21	 3330	 782	1414	-128	 344.88	 -1	-1 	0
2026-05-20 15:13:22	 3365	 842	1262	-128	 255.23	 0	-8 	0
2026-05-20 15:13:23	 3400	 751	1007	-128	 214.80	 -4	-5 	0
2026-05-20 15:13:24	 3435	 660	991	-128	 148.01	 -6	3 	0
2026-05-20 15:13:25	 3470	 576	1055	-128	 177.89	 0	0 	0
2026-05-20 15:13:26	 3505	 677	1053	-128	 184.92	 -5	-1 	0
2026-05-20 15:13:27	 3540	 449	991	-128	 256.99	 -5	-6 	0
2026-05-20 15:13:28	 3575	 418	853	-128	 218.32	 0	-1 	0
2026-05-20 15:13:29	 3610	 292	870	-128	 153.28	 -8	2 	0
2026-05-20 15:13:30	 3645	 160	979	-128	 98.79	 0	2 	0
2026-05-20 15:13:31	 3680	 191	1108	-128	 54.84	 0	2 	0
2026-05-20 15:13:32	 3715	 190	1105	-128	 75.94	 -2	-5 	0
2026-05-20 15:13:33	 3750	 183	1076	-128	 75.94	 0	3 	0
2026-05-20 15:13:35	 3811	 202	1139	-128	 72.42	 0	3 	0
2026-05-20 15:13:36	 3846	 234	1294	-128	 75.94	 1	7 	0
2026-05-20 15:13:37	 3881	 272	1477	-128	 109.34	 0	3 	0
2026-05-20 15:13:38	 3916	 277	1515	-128	 170.86	 0	0 	0
2026-05-20 15:13:39	 3957	 427	1514	-128	 179.65	 7	-1 	0
2026-05-20 15:13:40	 3997	 495	1515	-128	 183.16	 0	0 	0
2026-05-20 15:13:42	 4050	 495	1501	-128	 97.06	 0	-1 	0
When: 2026-05-20 15:14:04 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:14:06	 4848	 -414	256	0	 0.00	 2	0 	0
2026-05-20 15:14:07	 4883	 -232	256	0	 0.00	 2	0 	0
2026-05-20 15:14:08	 4918	 -169	260	0	 75.59	 1	2 	0
2026-05-20 15:14:09	 4953	 -126	434	0	 38.67	 1	3 	0
2026-05-20 15:14:10	 4988	 -20	434	0	 314.30	 5	-5 	0
2026-05-20 15:14:11	 5023	 111	328	12	 26.37	 3	1 	0
2026-05-20 15:14:12	 5058	 65	364	0	 293.20	 -3	0 	0
2026-05-20 15:14:13	 5093	 74	261	0	 340.66	 0	-1 	1
2026-05-20 15:14:14	 5128	 127	244	-124	 8.79	 4	0 	1
2026-05-20 15:14:15	 5163	 384	261	-128	 3.52	 8	0 	0
2026-05-20 15:14:16	 5198	 447	261	-128	 356.48	 -5	-1 	0
2026-05-20 15:14:17	 5233	 330	263	-128	 349.45	 1	-1 	0
2026-05-20 15:14:18	 5268	 528	234	-128	 12.30	 7	-1 	0
2026-05-20 15:14:19	 5303	 701	276	-128	 72.07	 0	0 	0
2026-05-20 15:14:20	 5338	 683	208	-128	 68.55	 -1	0 	0
2026-05-20 15:14:21	 5376	 710	275	-128	 66.80	 2	5 	0
2026-05-20 15:14:22	 5411	 874	469	-128	 56.25	 5	5 	0
2026-05-20 15:14:24	 5466	 875	524	-128	 91.41	 -1	4 	0
2026-05-20 15:14:25	 5501	 862	652	-128	 315.97	 -1	0 	0
2026-05-20 15:14:26	 5536	 774	622	-128	 66.71	 -6	-6 	0
2026-05-20 15:14:27	 5573	 746	592	-128	 82.53	 -1	-1 	0
2026-05-20 15:14:28	 5608	 707	592	-128	 124.72	 -1	-1 	0
2026-05-20 15:14:29	 5643	 647	663	-128	 144.05	 -8	3 	0
2026-05-20 15:14:30	 5678	 577	751	-128	 70.22	 0	0 	0
2026-05-20 15:14:31	 5713	 676	832	-128	 42.10	 6	4 	0
2026-05-20 15:14:32	 5748	 793	1061	-128	 131.75	 -3	7 	0
2026-05-20 15:14:33	 5783	 636	1281	-128	 79.01	 -3	7 	0
2026-05-20 15:14:34	 5818	 718	1397	-128	 345.85	 6	-1 	0
2026-05-20 15:14:35	 5853	 943	1274	-128	 275.54	 3	-8 	0
2026-05-20 15:14:36	 5888	 913	1028	-128	 206.98	 -6	-6 	0
2026-05-20 15:14:37	 5923	 663	939	-128	 127.88	 -7	2 	0
2026-05-20 15:14:38	 5958	 576	1071	-128	 143.70	 -1	0 	0
2026-05-20 15:14:39	 5993	 576	1020	-128	 206.98	 -1	-4 	0
2026-05-20 15:14:40	 6028	 516	976	-128	 173.58	 -5	0 	0
2026-05-20 15:14:41	 6063	 268	953	-128	 222.80	 -8	-4 	0
2026-05-20 15:14:42	 6098	 160	896	-128	 120.85	 -1	-1 	0
2026-05-20 15:14:43	 6133	 160	1060	-128	 83.94	 0	7 	0
2026-05-20 15:14:44	 6168	 285	1261	-128	 57.41	 3	1 	0
2026-05-20 15:14:45	 6203	 319	1273	-128	 119.80	 0	0 	0
When: 2026-05-20 15:14:49 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:14:52	 6426	 -286	245	0	 3.52	 4	-1 	0
2026-05-20 15:14:53	 6461	 -194	252	0	 79.10	 1	3 	0
2026-05-20 15:14:54	 6496	 -165	310	0	 66.80	 0	0 	0
2026-05-20 15:14:55	 6531	 -63	333	0	 7.03	 7	0 	0
2026-05-20 15:14:56	 6566	 96	314	4	 324.84	 4	-5 	1
2026-05-20 15:14:57	 6601	 243	231	-128	 0.00	 6	-1 	0
2026-05-20 15:14:58	 6636	 413	229	-128	 12.30	 0	0 	0
2026-05-20 15:15:01	 6735	 437	230	-128	 3.52	 4	0 	0
2026-05-20 15:15:02	 6770	 656	251	-128	 31.64	 2	0 	0
2026-05-20 15:15:03	 6805	 686	256	-128	 54.49	 0	0 	0
2026-05-20 15:15:05	 6871	 778	389	-128	 14.06	 6	4 	0
2026-05-20 15:15:06	 6906	 859	413	-128	 89.65	 -1	1 	0
2026-05-20 15:15:07	 6948	 852	464	-128	 89.65	 -1	-3 	0
2026-05-20 15:15:08	 6983	 853	498	-128	 89.65	 0	0 	0
2026-05-20 15:15:10	 7057	 852	465	-128	 89.65	 -1	-6 	0
2026-05-20 15:15:11	 7092	 822	342	-128	 82.62	 -1	-1 	0
2026-05-20 15:15:14	 7186	 809	329	-128	 144.14	 -1	-1 	0
2026-05-20 15:15:15	 7221	 747	362	-128	 63.28	 -1	0 	0
2026-05-20 15:15:16	 7256	 850	456	-128	 65.04	 4	4 	0
2026-05-20 15:15:17	 7300	 878	478	-128	 107.23	 -2	-3 	0
2026-05-20 15:15:18	 7335	 842	362	-128	 87.89	 -4	-5 	0
2026-05-20 15:15:19	 7370	 666	208	-128	 70.31	 -2	0 	0
