                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x79eeaf20f010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:24:55 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:26:09	 2692	 509	-1177	-128	 236.95	 -6	-5 	0
2026-05-20 15:26:10	 2727	 470	-1378	-128	 282.66	 1	-7 	0
2026-05-20 15:26:11	 2762	 483	-1584	-128	 207.07	 -4	-1 	0
2026-05-20 15:26:12	 2797	 418	-1588	-128	 173.67	 -2	0 	0
2026-05-20 15:26:13	 2832	 346	-1559	-128	 152.58	 3	-2 	0
2026-05-20 15:26:14	 2867	 416	-1487	-128	 29.53	 3	5 	0
2026-05-20 15:26:15	 2902	 621	-1498	-128	 266.48	 3	-7 	0
2026-05-20 15:26:16	 2937	 554	-1539	-128	 176.84	 -7	-1 	0
2026-05-20 15:26:17	 2972	 459	-1486	-128	 92.46	 -1	3 	0
2026-05-20 15:26:18	 3007	 409	-1534	-128	 53.79	 -3	-5 	0
2026-05-20 15:26:19	 3042	 401	-1556	-128	 48.52	 3	4 	0
2026-05-20 15:26:20	 3077	 546	-1380	-128	 43.24	 5	5 	0
2026-05-20 15:26:21	 3112	 764	-1300	-96	 287.23	 2	-1 	0
2026-05-20 15:26:22	 3147	 719	-1321	-101	 195.82	 -5	-2 	0
2026-05-20 15:26:23	 3182	 505	-1435	-128	 253.83	 -4	-7 	0
2026-05-20 15:26:24	 3217	 421	-1600	-128	 253.83	 -1	0 	0
2026-05-20 15:26:25	 3252	 399	-1675	-128	 262.62	 -2	-7 	6
2026-05-20 15:26:26	 3287	 381	-1787	-136	 176.48	 -1	-1 	6
2026-05-20 15:26:27	 3323	 336	-1782	-136	 160.66	 -1	1 	6
2026-05-20 15:26:29	 3387	 336	-1766	-276	 174.73	 0	-1 	6
2026-05-20 15:26:30	 3422	 451	-1776	-276	 172.97	 0	-1 	6
2026-05-20 15:26:32	 3493	 475	-1767	-184	 32.34	 3	2 	6
2026-05-20 15:26:33	 3528	 384	-1821	-136	 37.62	 -5	-3 	6
2026-05-20 15:26:34	 3563	 342	-1840	-136	 83.32	 0	0 	6
2026-05-20 15:26:35	 3598	 339	-1770	-144	 150.12	 -1	0 	6
2026-05-20 15:26:36	 3633	 399	-1810	-276	 85.08	 1	-1 	6
2026-05-20 15:26:37	 3668	 497	-1794	-276	 348.40	 7	0 	6
2026-05-20 15:26:38	 3703	 719	-1809	-304	 42.89	 0	-1 	0
2026-05-20 15:26:40	 3784	 707	-1764	-304	 238.01	 -3	-4 	0
2026-05-20 15:26:41	 3819	 642	-1860	-300	 250.31	 -3	-5 	0
2026-05-20 15:26:42	 3854	 608	-1919	-300	 246.80	 -2	-5 	0
2026-05-20 15:26:43	 3889	 564	-2004	-324	 274.92	 -1	0 	0
2026-05-20 15:26:45	 3934	 429	-2052	-324	 209.88	 -7	-3 	0
2026-05-20 15:26:46	 3969	 325	-2045	-324	 107.93	 -4	3 	0
2026-05-20 15:26:47	 4004	 323	-1935	-300	 123.75	 -1	3 	0
2026-05-20 15:26:48	 4039	 304	-1907	-300	 215.16	 -1	-3 	0
2026-05-20 15:26:49	 4074	 290	-1939	-300	 248.55	 2	4 	0
2026-05-20 15:26:50	 4109	 339	-1924	-300	 304.80	 3	-5 	0
2026-05-20 15:26:51	 4144	 327	-1889	-300	 299.53	 -1	0 	0
2026-05-20 15:26:54	 4258	 332	-1908	-300	 306.56	 2	-5 	0
2026-05-20 15:26:55	 4293	 508	-2093	-288	 332.93	 6	-5 	0
2026-05-20 15:26:56	 4328	 561	-2107	-312	 229.22	 -1	-1 	0
2026-05-20 15:26:57	 4363	 433	-2223	-340	 266.13	 -4	-3 	0
2026-05-20 15:26:58	 4398	 412	-2387	-345	 271.41	 0	-8 	0
2026-05-20 15:26:59	 4433	 396	-2579	-372	 222.19	 -2	-4 	0
2026-05-20 15:27:00	 4468	 258	-2673	-396	 143.09	 -4	0 	0
2026-05-20 15:27:01	 4503	 192	-2547	-396	 148.36	 -1	2 	0
2026-05-20 15:27:03	 4557	 177	-2652	-396	 313.59	 3	-5 	0
2026-05-20 15:27:04	 4592	 292	-2768	-396	 297.77	 0	0 	0
2026-05-20 15:27:05	 4627	 343	-2838	-396	 248.55	 0	-3 	0
2026-05-20 15:27:06	 4662	 348	-2854	-484	 245.04	 -1	-2 	0
2026-05-20 15:27:07	 4713	 377	-2905	-484	 283.71	 1	-6 	0
2026-05-20 15:27:08	 4748	 319	-2930	-484	 6.33	 -2	-1 	0
2026-05-20 15:27:09	 4783	 301	-2948	-484	 359.30	 -1	-1 	0
2026-05-20 15:27:12	 4893	 360	-2958	-484	 348.75	 6	-2 	0
2026-05-20 15:27:13	 4928	 624	-2937	-486	 34.45	 7	2 	14
2026-05-20 15:27:14	 4963	 790	-2728	-484	 67.85	 3	7 	0
2026-05-20 15:27:15	 4998	 757	-2688	-484	 178.59	 -4	0 	0
2026-05-20 15:27:16	 5033	 598	-2735	-484	 250.66	 0	-1 	0
2026-05-20 15:27:17	 5068	 685	-2802	-484	 342.07	 6	-3 	0
2026-05-20 15:27:18	 5103	 790	-2997	-508	 220.78	 -2	-1 	14
2026-05-20 15:27:19	 5138	 589	-3039	-508	 211.99	 -8	-3 	14
2026-05-20 15:27:20	 5173	 467	-3122	-508	 280.55	 -1	-4 	14
2026-05-20 15:27:21	 5208	 536	-3195	-516	 306.91	 6	-4 	0
2026-05-20 15:27:22	 5243	 659	-3380	-548	 270.00	 2	1 	0
